config_id,activation,layers,hidden,lr,batch,parameters,val_loss_mean,val_loss_std,val_loss_min,val_loss_max,test_mse,test_mae,test_rmse,best_seed
151,tanh,3,4,0.001,64,71,0.012160695566071404,0.0010468587418739517,0.01085880707204342,0.013422118805348873,0.023384690284729004,0.09637890756130219,0.15292052924633026,1
152,tanh,3,4,0.001,128,71,0.01297619511352645,0.0023796925337036517,0.010905295635263126,0.01630902082224687,0.022738108411431313,0.09775499254465103,0.15079160034656525,1
153,tanh,3,5,0.01,64,98,0.010157164195345509,0.0005689873244371487,0.00967780926078558,0.010956559446950754,0.019124416634440422,0.09521811455488205,0.13829106092453003,2
154,tanh,3,5,0.01,128,98,0.010003226819137732,0.0008650609387790665,0.0089373649507761,0.011056205347180367,0.019214080646634102,0.08729814738035202,0.13861486315727234,2
155,tanh,3,5,0.001,64,98,0.008709652157707347,0.000340688462118101,0.008286369199554125,0.009120608953138192,0.011280483566224575,0.0742967426776886,0.10620962083339691,0
156,tanh,3,5,0.001,128,98,0.009407946097768016,0.0007523332540793495,0.008488454651087522,0.010331275252004465,0.01514922734349966,0.07791422307491302,0.12308219820261002,2
157,tanh,3,6,0.01,64,129,0.007518800137357579,0.00046999694165884614,0.006860197244832913,0.007925737659136454,0.007765555288642645,0.0634855404496193,0.08812239021062851,2
158,tanh,3,6,0.01,128,129,0.006888174419601759,0.0002944465937490728,0.006586211621761322,0.007287474256008864,0.008152095600962639,0.06406647711992264,0.09028895944356918,2
159,tanh,3,6,0.001,64,129,0.006306373801910215,0.00019644040804651938,0.006151014578839143,0.00658350487301747,0.007237318437546492,0.05734194070100784,0.08507242798805237,2
160,tanh,3,6,0.001,128,129,0.00601405713127719,0.000326109986433053,0.0055646674471596875,0.006328519833584626,0.005691519007086754,0.050505608320236206,0.07544215768575668,0
161,tanh,3,7,0.01,64,164,0.006259620937208335,2.863386704077955e-05,0.006222997718801101,0.006292895915607611,0.006098274141550064,0.0589049756526947,0.07809145003557205,0
162,tanh,3,7,0.01,128,164,0.005606308684994777,0.00032443140611582833,0.005150714252144098,0.005881104736278455,0.004584496840834618,0.04805551469326019,0.06770890951156616,1
163,tanh,3,7,0.001,64,164,0.004746133179714282,0.00021779371701785612,0.0045786874443292614,0.005053736817091704,0.0040510003454983234,0.04288506507873535,0.06364747136831284,2
164,tanh,3,7,0.001,128,164,0.00488826393460234,0.0004583384688940001,0.004429464732607206,0.005514196885128816,0.0038616685196757317,0.041439227759838104,0.062142323702573776,2
165,tanh,3,8,0.01,64,203,0.006211193674140507,0.0004999195105623964,0.005684402043620746,0.006882936411847671,0.006048944313079119,0.055624350905418396,0.07777495682239532,1
166,tanh,3,8,0.01,128,203,0.0051456065074437195,0.0001152325697069145,0.0049856017691393695,0.005252379765113195,0.00474671320989728,0.04905172809958458,0.06889639794826508,2
167,tanh,3,8,0.001,64,203,0.004599661352733771,0.00040276228840438135,0.004254800369342168,0.005164684977382422,0.003782089566811919,0.040026068687438965,0.061498694121837616,2
168,tanh,3,8,0.001,128,203,0.0043979453289260464,0.0005577400646846083,0.0038083177755276363,0.00514648311957717,0.0029995455406606197,0.03642037510871887,0.05476810783147812,2
169,tanh,4,3,0.01,64,60,0.016087485988934835,0.0004496853428493774,0.015461842238903045,0.01649906405309836,0.051414866000413895,0.14753854274749756,0.22674846649169922,2
170,tanh,4,3,0.01,128,60,0.0664757681356536,0.07203401616045316,0.015015767554442087,0.16834544587135314,0.048963554203510284,0.14208821952342987,0.22127710282802582,2
171,tanh,4,3,0.001,64,60,0.01533731866048442,0.000512845401798064,0.014628025939067205,0.01582308895389239,0.04777124151587486,0.13778501749038696,0.21856632828712463,2
172,tanh,4,3,0.001,128,60,0.01563470772653818,0.0008877986042198658,0.014607729164262612,0.01677370945115884,0.04881492629647255,0.137785866856575,0.22094100713729858,2
173,tanh,4,4,0.01,64,91,0.011040308523509236,0.0006518316901458121,0.010122747726738452,0.01157582526654005,0.02121668867766857,0.09728299081325531,0.14565949141979218,2
174,tanh,4,4,0.01,128,91,0.010378084262212118,0.0009392502652710342,0.009066370444993178,0.011215164065361024,0.01713116094470024,0.08471669256687164,0.13088606297969818,2
175,tanh,4,4,0.001,64,91,0.010847493233780066,0.002466024519331978,0.007775121646622816,0.013812774901588758,0.013369759544730186,0.07111122459173203,0.11562767624855042,0
176,tanh,4,4,0.001,128,91,0.010178262314862676,0.0016773394130449755,0.008626659733553728,0.012507961392402648,0.01745224930346012,0.08140335977077484,0.1321069598197937,1
177,tanh,4,5,0.01,64,128,0.007135033773465288,0.0006996372562878666,0.006170575949052969,0.007808585094908873,0.006446000654250383,0.05912531167268753,0.08028698712587357,2
178,tanh,4,5,0.01,128,128,0.0074876998414595925,0.0009763996512456028,0.00662892880042394,0.008853524704774221,0.010183107107877731,0.06178491935133934,0.10091137886047363,1
179,tanh,4,5,0.001,64,128,0.006008574403408501,0.00021893130557786237,0.005739288039505482,0.006275543000549078,0.009526063688099384,0.05354796350002289,0.09760155528783798,0
